BE Number,Status,Date,PWO,
JHR024328,BER,2017-08-01,PWO277683,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR024328' ,'PWO277683' , 'BER' , 'JHR024328' , '2017-08-01','No'"
JHR010147,BER,2017-08-01,PWO278093,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR010147' ,'PWO278093' , 'BER' , 'JHR010147' , '2017-08-01','No'"
JHR008946,BER,2017-08-01,PWO278336,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008946' ,'PWO278336' , 'BER' , 'JHR008946' , '2017-08-01','No'"
JHR009820,BER,2017-08-01,PWO278616,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR009820' ,'PWO278616' , 'BER' , 'JHR009820' , '2017-08-01','No'"
JHR024286,BER,2017-08-01,PWO278118,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR024286' ,'PWO278118' , 'BER' , 'JHR024286' , '2017-08-01','No'"
JHR008244,BER,2017-08-01,PWO278030,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008244' ,'PWO278030' , 'BER' , 'JHR008244' , '2017-08-01','No'"
JHR008465,BER,2017-08-01,PWO284629,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008465' ,'PWO284629' , 'BER' , 'JHR008465' , '2017-08-01','No'"
JHR000311,BER,2017-08-01,PWO284604,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR000311' ,'PWO284604' , 'BER' , 'JHR000311' , '2017-08-01','No'"
JHR008501,BER,2017-08-01,PWO283503,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008501' ,'PWO283503' , 'BER' , 'JHR008501' , '2017-08-01','No'"
JHR008497,BER,2017-08-01,PWO283698,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008497' ,'PWO283698' , 'BER' , 'JHR008497' , '2017-08-01','No'"
JHR008502,BER,2017-08-01,PWO282535,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008502' ,'PWO282535' , 'BER' , 'JHR008502' , '2017-08-01','No'"
JHR008302,BER,2017-08-01,PWO279210,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008302' ,'PWO279210' , 'BER' , 'JHR008302' , '2017-08-01','No'"
JHR008560,BER,2017-08-01,PWO278628,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008560' ,'PWO278628' , 'BER' , 'JHR008560' , '2017-08-01','No'"
JHR023382,BER,2017-08-01,PWO284084,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR023382' ,'PWO284084' , 'BER' , 'JHR023382' , '2017-08-01','No'"
JHR023387,BER,2017-08-01,PWO282803,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR023387' ,'PWO282803' , 'BER' , 'JHR023387' , '2017-08-01','No'"
JHR005098,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR005098' ,'' , 'BER' , 'JHR005098' , '2017-08-01','No'"
JHR004381,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR004381' ,'' , 'BER' , 'JHR004381' , '2017-08-01','No'"
JHR005330,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR005330' ,'' , 'BER' , 'JHR005330' , '2017-08-01','No'"
JHR023366,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR023366' ,'' , 'BER' , 'JHR023366' , '2017-08-01','No'"
JHR010601,BER,2017-08-01,PWO282943,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR010601' ,'PWO282943' , 'BER' , 'JHR010601' , '2017-08-01','No'"
JHR010472,BER,2017-08-01,PWO284474,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR010472' ,'PWO284474' , 'BER' , 'JHR010472' , '2017-08-01','No'"
JHR010642,BER,2017-08-01,PWO284437,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR010642' ,'PWO284437' , 'BER' , 'JHR010642' , '2017-08-01','No'"
JHR015608,BER,2017-08-01,PWO282290,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR015608' ,'PWO282290' , 'BER' , 'JHR015608' , '2017-08-01','No'"
JHR015791,BER,2017-08-01,PWO283529,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR015791' ,'PWO283529' , 'BER' , 'JHR015791' , '2017-08-01','No'"
JHR021111,BER,2017-08-01,PWO296184,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR021111' ,'PWO296184' , 'BER' , 'JHR021111' , '2017-08-01','No'"
JHR025536,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR025536' ,'' , 'BER' , 'JHR025536' , '2017-08-01','No'"
JHR006499,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR006499' ,'' , 'BER' , 'JHR006499' , '2017-08-01','No'"
MLK005890,BER,2017-08-01,PWO297586,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'MLK005890' ,'PWO297586' , 'BER' , 'MLK005890' , '2017-08-01','No'"
MLK023237,BER,2017-08-01,PWO234617,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'MLK023237' ,'PWO234617' , 'BER' , 'MLK023237' , '2017-08-01','No'"
MLK004657,BER,2017-08-01,PWO234832,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'MLK004657' ,'PWO234832' , 'BER' , 'MLK004657' , '2017-08-01','No'"
MLK005149,BER,2017-08-01,PWO234210,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'MLK005149' ,'PWO234210' , 'BER' , 'MLK005149' , '2017-08-01','No'"
MLK004407,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'MLK004407' ,'' , 'BER' , 'MLK004407' , '2017-08-01','No'"
MLK004340,BER,2017-08-01,PWO298010,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'MLK004340' ,'PWO298010' , 'BER' , 'MLK004340' , '2017-08-01','No'"
MLK023087,BER,2017-08-01,PWO236833,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'MLK023087' ,'PWO236833' , 'BER' , 'MLK023087' , '2017-08-01','No'"
